,Node,Retailer,Technology,RES,ESS,EV,StorageType,OutflowsType,EnergyType,V2G,MustRun,NoDayAhead,NoFCRD,NoFCRN,BinaryCommitment,StorageInvestment,BinaryInvestment,BinaryRetirement,MaxCommitment,StandByStatus,FixedAvailability,InitialPeriod,FinalPeriod,MaximumPower,MinimumPower,StandByPower,MaximumCharge,MinimumCharge,InitialStorage,MaximumStorage,MinimumStorage,DoDS1,DoDS2,DoDS3,DoDC1,DoDC2,DoDC3,Efficiency,EnduranceFCRD,EnduranceFCRN,ProductionFunction,MaxCompressorConsumption,Availability,RampUp,RampDown,UpTime,DownTime,UpTimeZero,DownTimeZero,ReserveConsecutiveTime,CO2EmissionRate,FuelCost,OMVariableCost,LinearTerm,ConstantTerm,StartUpCost,ShutDownCost,FixedChargeRate,FixedInvestmentCost,FixedRetirementCost,InvestmentLo,InvestmentUp,RetirementLo,RetirementUp,MaxInflowsCons,MinInflowsCons,MaxOutflowsProd,MinOutflowsProd,OutflowsRampUp,OutflowsRampDown,Eficiency_AC_DC,Eficiency_DC_AC,Efficiency_ESO,Efficiency_charge,Efficiency_discharge,MaxPower_ACDC
EV_01,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes, 2040 , 2050 , 11 ,,, 11 ,, 35 , 70 , 0 ,,,,,,, 0.9 , 20 , 60 ,,,, 11 , 11 ,,,,,,, 1 ,,,,,,,,,,,,,,,,,,, 1 , 0.985 , 1 , 0.975 , 0.975 , 30 
EV_02,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes, 2040 , 2050 , 11 ,,, 11 ,, 35 , 70 , 0 ,,,,,,, 0.9 , 20 , 60 ,,,, 11 , 11 ,,,,,,, 1 ,,,,,,,,,,,,,,,,,,, 1 , 0.985 , 1 , 0.975 , 0.975 , 30 
EV_03,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes, 2040 , 2050 , 11 ,,, 11 ,, 35 , 70 , 0 ,,,,,,, 0.9 , 20 , 60 ,,,, 11 , 11 ,,,,,,, 1 ,,,,,,,,,,,,,,,,,,, 1 , 0.985 , 1 , 0.975 , 0.975 , 30 
EV_04,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes, 2040 , 2050 , 11 ,,, 11 ,, 35 , 70 , 0 ,,,,,,, 0.9 , 20 , 60 ,,,, 11 , 11 ,,,,,,, 1 ,,,,,,,,,,,,,,,,,,, 1 , 0.985 , 1 , 0.975 , 0.975 , 30 
EV_05,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes, 2040 , 2050 , 11 ,,, 11 ,, 35 , 70 , 0 ,,,,,,, 0.9 , 20 , 60 ,,,, 11 , 11 ,,,,,,, 1 ,,,,,,,,,,,,,,,,,,, 1 , 0.985 , 1 , 0.975 , 0.975 , 30 
EV_06,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes, 2040 , 2050 , 11 ,,, 11 ,, 35 , 70 , 0 ,,,,,,, 0.9 , 20 , 60 ,,,, 11 , 11 ,,,,,,, 1 ,,,,,,,,,,,,,,,,,,, 1 , 0.985 , 1 , 0.975 , 0.975 , 30 
EV_07,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes, 2040 , 2050 , 11 ,,, 11 ,, 35 , 70 , 0 ,,,,,,, 0.9 , 20 , 60 ,,,, 11 , 11 ,,,,,,, 1 ,,,,,,,,,,,,,,,,,,, 1 , 0.985 , 1 , 0.975 , 0.975 , 30 
EV_08,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes, 2040 , 2050 , 11 ,,, 11 ,, 35 , 70 , 0 ,,,,,,, 0.9 , 20 , 60 ,,,, 11 , 11 ,,,,,,, 1 ,,,,,,,,,,,,,,,,,,, 1 , 0.985 , 1 , 0.975 , 0.975 , 30 
EV_09,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes, 2040 , 2050 , 11 ,,, 11 ,, 35 , 70 , 0 ,,,,,,, 0.9 , 20 , 60 ,,,, 11 , 11 ,,,,,,, 1 ,,,,,,,,,,,,,,,,,,, 1 , 0.985 , 1 , 0.975 , 0.975 , 30 
EV_10,Node2,EleR_01,EV,,Yes,Yes,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,Yes, 2040 , 2050 , 11 ,,, 11 ,, 35 , 70 , 0 ,,,,,,, 0.9 , 20 , 60 ,,,, 11 , 11 ,,,,,,, 1 ,,,,,,,,,,,,,,,,,,, 1 , 0.985 , 1 , 0.975 , 0.975 , 30 
BESS_01,Node2,EleR_01,BESS,,Yes,,Hourly,Daily,,Yes,,No,Yes,Yes,,,,,,,, 2040 , 2050 , 5 ,,, 5 ,, 25 , 50 , 0 ,,,,,,, 0.975 , 20 , 60 ,,,, 5 , 5 ,,,,,,, 1 ,,,,,,,,,,,,,,,,,,, 1 , 0.985 , 1 , 0.975 , 0.975 , 30 
Solar_01,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,, 2020 , 2050 , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,
Solar_02,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,, 2040 , 2050 , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,
Solar_03,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,, 2040 , 2050 , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,
Solar_04,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,, 2040 , 2050 , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,
Solar_05,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,, 2040 , 2050 , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,
Solar_06,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,, 2040 , 2050 , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,
Solar_07,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,, 2040 , 2050 , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,
Solar_08,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,, 2040 , 2050 , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,
Solar_09,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,, 2040 , 2050 , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,
Solar_10,Node2,EleR_01,Solar,Yes,,,,,,,,No,Yes,Yes,,,,,,,, 2040 , 2050 , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
